,row,City,Latitude,Longitude,Temperature (degrees F),Humidity,Clouds (%),Winds Speed
468,516,luangwa,-15.62,30.42,68.22,43,0,1.7
469,517,dubbo,-32.25,148.62,30.2,92,0,8.05
470,518,machinga,-15.17,35.3,68.65,53,37,3.36
471,519,kolondieba,11.09,-6.89,75.16,84,85,4.03
472,520,saquisili,-0.83,-78.67,54.66,62,75,13.87
473,521,paracuru,-3.41,-39.03,84.2,54,20,17.22
474,522,hay river,60.82,-115.8,62.6,82,75,8.05
475,523,filadelfia,39.95,-75.16,88.0,42,20,6.93
476,524,eyl,7.98,49.82,80.13,66,7,23.71
477,525,evensk,61.95,159.23,55.94,64,97,6.26
478,526,moindou,-21.69,165.68,55.4,100,0,3.36
479,527,seoul,37.57,126.98,77.49,94,90,5.82
480,528,westport,41.14,-73.36,86.34,45,0,7.0
481,529,opuwo,-18.06,13.84,54.21,63,0,3.91
482,530,manicore,-5.81,-61.3,91.4,49,10,3.36
483,531,tessalit,20.2,1.01,94.14,36,0,5.06
484,532,yavaros,26.7,-109.52,100.99,42,0,8.01
485,533,bilibino,68.05,166.44,42.58,81,100,2.48
486,534,naze,28.37,129.48,80.6,88,20,3.36
487,535,ternate,0.8,127.4,80.1,82,92,5.19
488,536,cholet,47.17,-1.0,73.26,56,0,5.82
489,537,kampene,-3.6,26.67,74.57,60,50,2.51
490,538,meulaboh,4.14,96.13,78.03,87,100,2.98
491,539,ust-maya,60.42,134.53,53.62,68,0,1.86
492,540,jabinyanah,35.03,10.91,82.4,58,0,11.41
493,541,prince rupert,54.32,-130.32,55.4,100,90,4.7
494,542,chapais,49.78,-74.85,59.0,93,90,17.22
495,543,ahuimanu,21.44,-157.84,79.63,69,40,12.75
496,544,isangel,-19.55,169.27,68.18,69,2,4.65
497,545,tak,16.58,98.83,67.8,100,100,2.86
498,546,pak phanang,8.35,100.2,79.68,80,100,3.18
499,547,gotsu,35.0,132.22,73.49,72,36,5.01
500,548,khandyga,62.67,135.6,53.8,62,0,1.3
501,549,lebedinyy,58.52,125.52,49.51,71,75,5.03
502,550,zhob,31.34,69.45,86.67,30,0,2.21
503,551,mezen,65.85,44.24,60.93,92,100,11.07
504,552,katherine,-14.47,132.27,71.6,73,100,5.82
505,553,wheeling,42.14,-87.93,75.04,47,75,4.7
506,555,kupang,-10.17,123.58,71.44,81,18,5.48
507,556,sakti,22.03,82.97,76.53,95,100,4.65
508,557,labytnangi,66.66,66.42,57.24,75,9,4.47
509,558,rio gallegos,-51.62,-69.22,39.2,88,75,20.8
510,559,port blair,11.67,92.75,82.02,83,100,15.03
511,560,kiama,-34.68,150.87,46.96,66,0,13.0
512,561,bubaque,11.28,-15.83,79.99,80,93,18.5
513,562,gorontalo,0.54,123.06,74.86,90,74,2.37
514,563,morondava,-20.28,44.28,70.47,80,0,12.37
515,564,tomatlan,19.93,-105.25,92.44,55,0,10.27
516,565,port-gentil,-0.72,8.78,77.0,83,40,10.51
517,566,aklavik,68.22,-135.01,51.8,87,90,3.36
518,567,ulladulla,-35.35,150.47,32.5,78,0,12.75
519,568,hoi an,15.88,108.33,78.8,88,40,4.7
520,569,waitati,-45.75,170.57,44.01,88,100,34.0
521,570,sinnamary,5.38,-52.95,81.93,82,0,12.53
522,571,bandarbeyla,9.49,50.81,79.14,71,100,32.08
523,572,beira,-19.84,34.84,69.8,94,41,9.17
524,573,landerneau,48.45,-4.25,67.48,77,90,13.87
525,574,wenatchee,47.42,-120.31,88.48,36,0,2.44
526,575,pacific grove,36.62,-121.92,64.15,64,90,11.41
527,576,kharp,66.8,65.81,56.17,77,5,3.31
528,577,labuhan,-6.88,112.21,75.96,84,67,7.18
529,578,bonfim,3.08,-59.95,87.71,59,63,4.03
530,579,yumen,40.28,97.2,73.27,47,6,5.53
531,580,vung tau,10.35,107.08,79.41,84,100,11.54
532,581,ostrovnoy,68.05,39.51,55.83,88,100,6.53
533,582,mahibadhoo,3.78,72.97,82.58,79,100,15.77
534,584,kalmunai,7.42,81.82,79.66,73,88,11.86
535,585,santa elena,-2.23,-80.85,73.4,73,75,10.29
536,586,kasongo-lunda,-6.47,16.82,79.07,36,48,0.63
537,587,nuevo ideal,24.89,-105.07,79.45,27,96,9.31
538,588,morant bay,17.88,-76.41,88.43,66,20,26.4
539,589,kuusamo,65.97,29.18,57.2,67,1,9.17
540,590,lata,40.16,-8.33,75.11,40,0,5.99
541,591,shiraz,29.6,52.54,86.0,19,0,4.7
542,592,cayenne,4.93,-52.33,77.0,94,25,4.7
543,593,kirn,49.78,7.45,70.0,37,0,9.17
544,594,palauig,15.44,119.9,82.51,71,95,2.86
545,595,durban,-29.86,31.03,60.8,87,90,6.93
546,596,yanam,16.73,82.22,77.52,89,100,7.74
547,597,kargopol,61.51,38.95,58.82,97,14,6.49
548,598,berbera,10.44,45.01,91.56,43,100,22.41
549,599,aksarka,66.56,67.8,57.94,68,71,7.7
550,600,kattivakkam,13.22,80.32,86.0,58,40,8.05
551,601,nakatsugawa,35.48,137.5,74.8,85,56,2.84
552,602,cape coast,5.11,-1.25,73.94,82,67,16.31
553,604,itarema,-2.92,-39.92,81.39,62,0,16.4
